Altium Designer Pick and Place Locations
C:\Users\Sam Cassisi\volta-electronics-single-port\Project Outputs for Volta_P0_Single_Port\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       18/08/22
Time:       12:27
Revision:   80e22c56b904ecb4ed3fd986442c5fc02bdcf813
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R50","10 kOhms","TopLayer","RES_0603_1608","3935.520","1001.216","90","RES 10K OHM 5% 1/10W 0603"
"U4","BQ25731RSNR","TopLayer","QFN40P400X400X80_HS-33N","4025.276","817.126","270","I2C 1- to 5-Cell Buck-Boost Battery Charge Controller with USB-C PD 3.0 OTG Output"
"R75","4.99 Ohms","TopLayer","RES_0603_1608","3879.677","1125.010","270","RES 4.99 OHM 1% 1/10W 0603"
"R74","4.99 Ohms","TopLayer","RES_0603_1608","3980.000","1152.000","180","RES 4.99 OHM 1% 1/10W 0603"
"R73","5 mOhms","TopLayer","RES_1206_3216","4830.000","613.291","360","RES 0.005 OHM 5% 1W 1206"
"R72","0 Ohms","TopLayer","RES_0805_2012","4205.000","452.633","360","RES SMD 0 OHM JUMPER 1/2W 0805"
"R71","10 Ohms","TopLayer","RES_0603_1608","3975.000","660.718","180","RES SMD 10 OHM 1% 1/10W 0603"
"R70","10 Ohms","TopLayer","RES_0603_1608","4060.480","635.000","270","RES SMD 10 OHM 1% 1/10W 0603"
"R69","5 mOhms","TopLayer","RES_1206_3216","4005.000","525.000","180","RES 0.005 OHM 5% 1W 1206"
"R68","0 Ohms","TopLayer","RES_0805_2012","4160.000","590.000","180","RES SMD 0 OHM JUMPER 1/2W 0805"
"R67","220 kOhms","TopLayer","RES_0603_1608","3665.000","1166.373","90","RES 220K OHM 5% 1/10W 0603"
"R66","191 kOhms","TopLayer","RES_0603_1608","3665.527","941.319","90","RES 191K OHM 1% 1/10W 0603"
