Removed Pin From Net: NetName=GND Pin=C1-1
Removed Pin From Net: NetName=+5V0 Pin=C1-2
Removed Pin From Net: NetName=NetJ12_1 Pin=R11-2
Removed Pin From Net: NetName=NetJ9_1 Pin=R12-2
Removed Pin From Net: NetName=NetJ12_1 Pin=U2-B2
Removed Pin From Net: NetName=NetJ9_1 Pin=U2-B3
Removed Pin From Net: NetName=NetJ6_1 Pin=U4-12
Removed Pin From Net: NetName=NetJ11_1 Pin=U4-13
Change Component Footprint: Designator=C1 Old Footprint=CAP 0603_1608 New Footprint=CAP POL 1411_3528
Change component parameters: Designator = "C1"; Footprint = "CAP POL 1411_3528"; UniqueID = "\LUQIIEJL"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Capacitance"; Value = "47 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1url"; Value = "https://api.kemet.com/component-edge/download/datasheet/T494B476K010AT.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/kemet/T494B476K010AT/9642205"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "1411 (3528 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "650mOhm @ 100kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "General Purpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.083" (2.10mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lastupdated"; Value = "16/02/2023 8:42:18 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifetime @ Temp."; Value = "2000 Hrs @ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Size Code"; Value = "B"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "1411 (3528 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "partid"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "T494B476K010AT"; VariantName = "[No Variations]"
