Comment,Description,Designator,Footprint,LibRef,Quantity

"0.1 µF","CAP CER 0.1UF 10V X5R 0402, CAP CER 0.1UF 6.3V X5R 0402","C1, C3, C5, C6, C60, C66, C69, C75, C82","CAP 0402_1005","LMK105BJ104MC-F, 885012105001","9"
"4.7 µF","CAP CER 4.7UF 10V X5R 0402, CAP CER 4.7UF 16V X5R 0402","C2, C4, C67, C68","CAP 0402_1005","CL05A475KP5NRNC, CL05A475MO5NUNC","4"
"1 µF","CAP CER 1UF 10V X5R 0402, CAP CER 1UF 16V X5R 0402","C7, C13, C49","CAP 0402_1005","LMK105BJ105KPLF, EMK105BJ105MV-F","3"
"10000 pF","CAP, MLCC, 0402/1005, 10V, X7R,, CAP CER 10000PF 25V X5R 0402, CAP CER 10000PF 35V X7R 0402","C8, C34, C61, C62, C63, C64","CAP 0402_1005","LMF105B7103KVHF, TMK105BJ103KP-F, CGA2B3X7R1V103M050BB","6"
"33 pF","CAP CER 33PF 50V CH 0402","C9","CAP 0402_1005","UMK105CH330JVHF","1"
"4700 pF","CAP CER 4700PF 50V X7R 0402","C10, C44, C48","CAP 0402_1005","0402B472J500CT","3"
"680 pF","CAP CER 680PF 50V NP0 0402","C11","CAP 0402_1005","C1005NP01H681J050BA","1"
"15 pF","CAP CER 15PF 50V C0G/NP0 0402","C12","CAP 0402_1005","CBR04C150J5GAC","1"
"10 µF","CAP CER 10UF 50V X5R 0805","C14, C15, C25, C26, C27, C28, C29, C31, C43, C45, C46, C47, C50, C51, C52","CAP 0805_2012","GRM21BR61H106KE43L","15"
"33 µF","CAP TANT 33UF 20% 35V 2917","C16, C32, C53","CAP POL 2917_7343","T495X336M035ATE175","3"
"0.1 µF","CAP CER 0.1UF 50V X7R 0603","C17, C81, C83, C84","CAP 0603_1608","C0603C104K5RAC7411","4"
"100 pF","CAP CER 100PF 50V C0G/NP0 0603","C18, C20, C21","CAP 0603_1608","C0603C101K5GACAUTO","3"
"0.47 µF","CAP CER 0.47UF 50V X7R 0805","C19","CAP 0805_2012","C0805C474K5RACAUTO","1"
"2.2 µF","CAP CER 2.2UF 35V X5R 0603","C22","CAP 0603_1608","GRM188R6YA225KA12D","1"
"1 µF","CAP CER 1UF 35V X7R 0603","C23","CAP 0603_1608","GMJ107CB7105KAHR","1"
"4.7 µF","CAP CER 4.7UF 35V X5R 0603","C24","CAP 0603_1608","C1608X5R1V475K080AC","1"
"10 µF","CAP CER 10UF 10V X5R 0402","C30, C54, C55, C65","CAP 0402_1005","CL05A106MP8NUB8","4"
"1000 pF","CAP CER 1000PF 50V NP0 0402","C33","CAP 0402_1005","UMK105CG102JVHF","1"
"0.047 µF","CAP CER 0.047UF 25V X7R 0603","C35, C36","CAP 0603_1608","C0603C473K3RACAUTO","2"
"10000 pF","CAP CER 10000PF 50V NP0 0603","C37, C42","CAP 0603_1608","CGA3E2NP01H103J080AA","2"
"150 pF","CAP CER 150PF 50V C0G/NPO 0603","C38, C41","CAP 0603_1608","CC0603KRNPO9BN151","2"
"0.033 µF","CAP CER 0.033UF 50V X7R 0603","C39, C40","CAP 0603_1608","C0603C333K5RACAUTO","2"
"220 pF","CAP CER 220PF 16V X7R 0402","C56, C57","CAP 0402_1005","885012205021","2"
"22 µF","CAP CER 22UF 35V X5R 0805","C58, C59, C70, C71, C76, C77","CAP 0805_2012","C2012X5R1V226M125AC","6"
"100 µF","CAP TANT 100UF 20% 10V 1411","C72, C73, C74, C78, C79, C80","CAP POL 1411_3528","ATCC-211B-010-107M-T","6"
"3300 pF","CAP CER 3300PF 16V X7R 0402","C85","CAP 0402_1005","AC0402KRX7R7BB332","1"
"White","0805 LED WHITE, YELLOW DIFFUSED","D1, D2, D3","LED 0805_2012","QBLP631-IW5","3"
"BZT52B3V3S_R9","","D14","DIO_BZT52B3V3S_R9","BZT52B3V3S_R9","1"
"DMN67D8L-7","MOSFET N-CH 60V 210MA SOT23","IC1","DIODES SOT-23-3","DMN67D8L-7","1"
"CP2102N-A02-GQFN28R","IC USB TO UART BRIDGE QFN28","IC2","SILICON LABS QFN-28 5x5MM","CP2102N-A02-GQFN28R","1"
"C2982481","5A 1 Surface Mount 16 Female -55?~+85? Type-C SMD USB Connectors ROHS C2982481","J11","GT-USB-7079A","GT-USB-7079A","1"
"4.7uH","BMQADY1010404R7MA1","L1","BMQADY1010404R7MA1","BMQADY1010404R7MA1","1"
"74437324022","LHMI Inductor 4020 2.2uH 5.0A 27.0mOhm","L2","IND_74437324022","74437324022","1"
"744314330","Inductor SMD 7050 3.3µH 9 A Wuerth Elektronik WE-HCI 744314330 1 pc(s)","L3","IND_744314330","744314330","1"
"LIGHT PIPE","Light Pipe Dialight 515-1069F","LP1","Dialight 515-1069F","Dialight 515-1069F","1"
"AONS36306","30V N-Channel MOSFET","Q1, Q2, Q3, Q4","DFN 5x6","AONS36306","4"
"BSS84","BSS84 Series 50 V 10 Ohms P-Ch Enhancement Mode Field Effect Transistor SOT-23-3","Q9","SOT95P240X120-3N","BSS84","1"
