Altium Designer Pick and Place Locations
C:\Users\Sam Cassisi\volta-electronics-single-port\Project Outputs for Volta_P0_Single_Port\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       09/08/23
Time:       17:20
Revision:   51216de7b9183a2c24a5760536f8bc67d05ebefc
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)"
"R82","0 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","40.8400","27.4457","270","RES SMD 0 OHM JUMPER 1/3W 0603","Standard","0.4500"
"R81","100 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","51.7652","23.3426","90","RES 100 OHM 0.5% 1/5W 0402","Standard","0.4000"
"R80","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","53.8988","16.4918","90","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R76","165 kOhms","BottomLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","64.2111","26.4374","180","RES 165K OHM 0.1% 1/10W 0402","Standard","0.4000"
"R75","100 kOhms","BottomLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","64.2111","25.2516","360","RES 100K OHM 0.1% 1/10W 0402","Standard","0.4000"
"R13","10 mOhms","BottomLayer","RES_1210_3225","Chip Resistor, 2-Leads, Body 3.1x2.6mm, IPC Medium Density","86.7618","26.2345","90","RES 0.01 OHM 1% 1/2W 1210","Standard","0.6500"
"R79","0 Ohms","BottomLayer","RES_0805_2012","Chip Resistor, 2-Leads, Body 2.00x1.25mm, IPC Medium Density","73.9530","29.1846","360","0805 35 AMP JUMPER","Standard","0.7000"
"R78","16.5 kOhms","BottomLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","67.5894","28.8132","270","RES SMD 16.5K OHM 0.1% 1/6W 0603","Standard","0.4500"
"R77","374 kOhms","BottomLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","65.9638","28.8132","90","RES SMD 374K OHM 1% 1/10W 0402","Standard","0.4000"
"R50","100 Ohms","BottomLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","83.7438","27.1077","360","RES SMD 100 OHM 0.1% 1/10W 0603","Standard","0.4500"
"R14","100 Ohms","BottomLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","83.7438","25.3475","360","RES SMD 100 OHM 0.1% 1/10W 0603","Standard","0.4500"
