Altium Designer Pick and Place Locations
C:\Users\Sam Cassisi\volta-electronics-single-port\Project Outputs for Volta_P0_Single_Port\Pick Place for Panel-Single.csv

========================================================================================================================
File Design Information:

Date:       09/08/23
Time:       19:59
Revision:   51216de7b9183a2c24a5760536f8bc67d05ebefc
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)"
"R82","0 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","54.7712","76.4419","270","RES SMD 0 OHM JUMPER 1/3W 0603","Standard","0.4500"
"R81","100 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","65.6964","72.3388","90","RES 100 OHM 0.5% 1/5W 0402","Standard","0.4000"
"R80","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","67.8300","65.4880","90","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R76","165 kOhms","BottomLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","78.1423","75.4337","180","RES 165K OHM 0.1% 1/10W 0402","Standard","0.4000"
"R75","100 kOhms","BottomLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","78.1423","74.2478","360","RES 100K OHM 0.1% 1/10W 0402","Standard","0.4000"
"R13","10 mOhms","BottomLayer","RES_1210_3225","Chip Resistor, 2-Leads, Body 3.1x2.6mm, IPC Medium Density","100.6930","75.2307","90","RES 0.01 OHM 1% 1/2W 1210","Standard","0.6500"
"R79","0 Ohms","BottomLayer","RES_0805_2012","Chip Resistor, 2-Leads, Body 2.00x1.25mm, IPC Medium Density","87.8842","78.1808","360","0805 35 AMP JUMPER","Standard","0.7000"
"R78","16.5 kOhms","BottomLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","81.5206","77.8094","270","RES SMD 16.5K OHM 0.1% 1/6W 0603","Standard","0.4500"
"R77","374 kOhms","BottomLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","79.8950","77.8094","90","RES SMD 374K OHM 1% 1/10W 0402","Standard","0.4000"
"R50","100 Ohms","BottomLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","97.6750","76.1039","360","RES SMD 100 OHM 0.1% 1/10W 0603","Standard","0.4500"
